Item,Database,Description,Example values,History scenarios,Mobile equivalent,Order,Saving scenarios,Specs,Status,Tag,Type,Web equivalent
REGISTER,Favourites - Web,Used to show informal terms in editorial vocabulary lists (maybe we’ll add more register to display to the users),Informal,,,4.3,"From Define result page (https://app.notion.com/p/From-Define-result-page-3803138618268072a3bbf288daa9956c?pvs=21), From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21), Creating editorial list (https://app.notion.com/p/Creating-editorial-list-3833138618268022a07aeffb72d5f9c6?pvs=21), From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21)",,In progress,Optional,String,
LANGUAGE_LEVEL,Favourites - Web,Used to store the CERF level of a word (only for monolingual fav for now and for vocabulary lists),A1/A2/B1/B2/C1/C2/Rare,,,4.4,"From Define result page (https://app.notion.com/p/From-Define-result-page-3803138618268072a3bbf288daa9956c?pvs=21), Creating editorial list (https://app.notion.com/p/Creating-editorial-list-3833138618268022a07aeffb72d5f9c6?pvs=21), From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21)",,In progress,Optional,String,
ID,Goals,ID of the list,2938498,,,,,7 digits,NA,,Integer,
ID,Featured Sections,ID of the list,2938498,,,,,7 digits,NA,,Integer,
NAME,Featured Sections,,,,,,,,NA,,,
SORT_ORDER,Featured Sections,,,,,,,,NA,,,
GOAL_ID,Featured Sections,,,,,,,,NA,,,
favType,Favorites - Mobile,"0 → noneRegular context favorite
1 → mtMachine translation
2 → webSearchWeb search result
3 → genAIGenAI result
4 → defDefinition
5 → synSynonym",,,,,,Integer 16,NA,,Integer,FAVTYPE (https://app.notion.com/p/FAVTYPE-8c61352af41a49968637e4a0a264c7fa?pvs=21)
comment,Favorites - Mobile,,,,,,,,NA,Optional,String,COMMENT (https://app.notion.com/p/COMMENT-051bd52e483c4438a5a2fd5be3328b71?pvs=21)
sourcePos,Favorites - Mobile,,,,,,,,NA,Optional,String,SOURCE_POS (https://app.notion.com/p/SOURCE_POS-c1401b0b2a4f410b8c750509aa7eb94c?pvs=21)
targetPos,Favorites - Mobile,,,,,,,,NA,Optional,String,TARGET_POS (https://app.notion.com/p/TARGET_POS-1c69d6508c594731aed95d6d385e0928?pvs=21)
sourceLanguage,Favorites - Mobile,,,,,,,,NA,Always,String,SOURCE_LANG (https://app.notion.com/p/SOURCE_LANG-6bb365d9a6ab4855b3bc0ba0cf90c218?pvs=21)
targetLanguage,Favorites - Mobile,,,,,,,,NA,Always,String,TARGET_LANG (https://app.notion.com/p/TARGET_LANG-87528e6e692947d686d9f2b9c81fbb59?pvs=21)
sourceText,Favorites - Mobile,,,,,,,,NA,Always,String,SOURCE_CONTEXT (https://app.notion.com/p/SOURCE_CONTEXT-022b1bed3c3043d585c6d923e5f05ff5?pvs=21)
targetText,Favorites - Mobile,,,,,,,,NA,Always,String,TARGET_CONTEXT (https://app.notion.com/p/TARGET_CONTEXT-3bb3d304fcb848cfb55c4bf6f70b9928?pvs=21)
searchText,Favorites - Mobile,,,,,,,,NA,Always,String,SOURCE_TEXT (https://app.notion.com/p/SOURCE_TEXT-d2e5153780cc4d67bd417b0c90784bec?pvs=21)
serverTargetText,Favorites - Mobile,,,,,,,"Original server translation (kept when user edits)

This is where we store definitions",NA,Always,,TARGET_TEXT (https://app.notion.com/p/TARGET_TEXT-1044b75c8e854e318b0cb56f6cd94b45?pvs=21)
createdAt,Favorites - Mobile,,,,,,,,NA,Always,,CREATION_DATE (https://app.notion.com/p/CREATION_DATE-61be111b80cc483aaaeaa1cd193f69f8?pvs=21)
modifiedAt,Favorites - Mobile,,,,,,,,NA,Always,,LAST_EDIT (https://app.notion.com/p/LAST_EDIT-ace85e82f89d49aa9eaa9d8d66a6b7bb?pvs=21)
deletedAt,Favorites - Mobile,,,,,,,,NA,,,
reference,Favorites - Mobile,Source reference of the example,,,,,,,NA,,,
editedSource,Favorites - Mobile,User-edited versions of the example pair,,,,,,,NA,,,
editedTranslation,Favorites - Mobile,User-edited versions of the example pair,,,,,,,NA,,,
serverID,Favorites - Mobile,Backend ID for account sync,,,,,,,NA,,,
isRemoved,Favorites - Mobile,,,,,,,,NA,,,REMOVED (https://app.notion.com/p/REMOVED-164f9da5f5d54941b494576b459bb815?pvs=21)
isExpanded,Favorites - Mobile,UI state (expanded cell in the list),,,,,,,NA,,,
sourceText,History - mobile,The word/phrase searched,movie,,,,,,NA,Always,String,SOURCE_TEXT (https://app.notion.com/p/SOURCE_TEXT-843ba20d821d493895326bd0f6b892f7?pvs=21)
SOURCE_TRANSLIT,Favourites - Web,,,,,,"Creating editorial list (https://app.notion.com/p/Creating-editorial-list-3833138618268022a07aeffb72d5f9c6?pvs=21), From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21)",,NA,,String,
TARGET_TRANSLIT,Favourites - Web,,,,,,"Creating editorial list (https://app.notion.com/p/Creating-editorial-list-3833138618268022a07aeffb72d5f9c6?pvs=21), From Define result page (https://app.notion.com/p/From-Define-result-page-3803138618268072a3bbf288daa9956c?pvs=21), From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21), From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21)",,NA,,String,
IMAGE,Favourites - Web,,,,,,"Creating editorial list (https://app.notion.com/p/Creating-editorial-list-3833138618268022a07aeffb72d5f9c6?pvs=21), From Context result page (https://app.notion.com/p/From-Context-result-page-38331386182680759f59fc9873faac9b?pvs=21), From Define result page (https://app.notion.com/p/From-Define-result-page-3803138618268072a3bbf288daa9956c?pvs=21), From BilingualCombined result page (https://app.notion.com/p/From-BilingualCombined-result-page-38331386182680a5ae27f2998501f8ae?pvs=21)",,NA,,String,
ORIGINAL_LIST_ID,Favourites - Web,List ID of the editorial Reverso list the term was saved from,,,,,From a list (https://app.notion.com/p/From-a-list-380313861826803a85a3d227d8ef975a?pvs=21),,NA,,Integer,
sourceLang,History - mobile,Source language code,en,,,,,,NA,,String,SOURCE_LANG (https://app.notion.com/p/SOURCE_LANG-b35fb8300a3841049097ebaf2ebbbdf9?pvs=21)
targetLang,History - mobile,Target language code,fr,,,,,,NA,,String,TARGET_LANG (https://app.notion.com/p/TARGET_LANG-ababee0a78864e0cb1570ac10ad32d01?pvs=21)
translationsEntries,History - mobile,"Parsed translation results, as [BSTDictionaryEntry]","film, cinéma, vidéo",,,,,,NA,,Transformable,
responseDict,History - mobile,Full raw API response; most other data is derived from it,Too large to display,,,,,,NA,,Transformable,
status,History - mobile,"Search outcome (Status enum): 
1 = notFound
2 =  partiallyFound
3 = exactResults
4 = noTranslations",3,,,,,,NA,,Integer,STATUS (https://app.notion.com/p/STATUS-b4b8bea5125d4a9c8b54bcd26802ab45?pvs=21)
histType,History - mobile,History type (HistType): 1 = def (definition lookup). 0 = normal context search,0,,,,,,NA,,Integer,HISTTYPE (https://app.notion.com/p/HISTTYPE-7571fcab115f44d2b2591a943ddb846f?pvs=21)
source,History - mobile,"Origin (SourceType): 0 contextWeb, 1 mobile, 2 chromeExtension",1,,,,,,NA,,Integer,SOURCE (https://app.notion.com/p/SOURCE-448c54fd99a64a7f9b4e82182985707d?pvs=21)
isFromSuggestion,History - mobile,"Whether the user tapped a suggestion vs. typed it

Is this actually used?",nil → not from a suggestion,,,,,,NA,Optional,Boolean,
isPerformedOffline,History - mobile,Whether it ran against the offline dictionary,0 → online search,Saving offline (https://app.notion.com/p/Saving-offline-3833138618268036a7fdfe8f6335c24f?pvs=21),,,Saving offline (https://app.notion.com/p/Saving-offline-3833138618268036a7fdfe8f6335c24f?pvs=21),,NA,,Boolean,
isWatchSearch,History - mobile,Whether it originated on the Apple Watch,nil → not a Watch search,,,,,,NA,,Boolean,
isRemoved,History - mobile,"Soft-delete flag (marked deleted, kept for sync)",nil → not removed,,,,,,NA,,Boolean,REMOVED (https://app.notion.com/p/REMOVED-72c7870b4e4c461cb7cbc8c6ad2cbc61?pvs=21)
createdAt,History - mobile,When the entry was first created,2026-06-18 14:37:39 +0000,,,,,,NA,ID,Date,CREATION_DATE (https://app.notion.com/p/CREATION_DATE-21ab4060ac3f4502ac6962033385b1b5?pvs=21)
modifiedAt,History - mobile,"When it was last modified

What does it mean for a History to be “modified”? Can we even edit a history term?",2026-06-18 14:37:39 +0000 (same → never edited),,,,,,NA,,Date,
serverID,History - mobile,"Matching record ID on Reverso's server, for cross-device sync",0 → not yet synced / no server ID,,,,,,NA,ID,Integer,ID (https://app.notion.com/p/ID-a8ce264f9281432bb7e0df8c598b624f?pvs=21)
card (relationship),History - mobile,Links this history entry to its flashcard (Learn/Quiz games),nil → no flashcard created,,,,,,NA,,CDFlashcard,
